segment_id,start_m,end_m,mean_elevation_m,mean_slope_deg,max_slope_deg,mean_aspect_deg,dist_to_landslide_m,dist_to_river_m
NH58_SEG_026,12500.0,13000.0,1849.1,23.5,50.2,178.1,254.5,462.3
NH58_SEG_027,13000.0,13500.0,1851.9,23.4,50.2,177.9,245.5,463.0
NH58_SEG_028,13500.0,14000.0,1853.2,23.5,50.2,178.8,745.5,463.3
NH58_SEG_029,14000.0,14500.0,1854.2,23.2,48.2,177.6,1245.5,463.6
NH58_SEG_030,14500.0,15000.0,1855.9,23.5,48.2,178.5,1745.5,464.0
NH58_SEG_031,15000.0,15500.0,1857.5,23.3,50.2,178.3,2245.5,464.4
NH58_SEG_032,15500.0,16000.0,1859.3,23.6,50.2,178.9,2745.5,464.8
NH58_SEG_033,16000.0,16500.0,1861.0,23.4,50.2,177.7,3245.5,465.2
NH58_SEG_034,16500.0,17000.0,1863.1,23.4,50.2,177.8,3745.5,465.8
NH58_SEG_035,17000.0,17500.0,1863.1,23.4,50.2,177.2,3408.1,465.8
NH58_SEG_036,17500.0,18000.0,1863.0,23.1,48.2,178.0,2908.1,465.8
NH58_SEG_037,18000.0,18500.0,1863.4,23.5,48.2,178.2,2408.1,465.9
NH58_SEG_038,18500.0,19000.0,1865.7,23.3,50.2,178.4,1908.1,466.4
NH58_SEG_039,19000.0,19500.0,1868.4,23.6,50.2,178.3,1408.1,467.1
NH58_SEG_040,19500.0,20000.0,1868.5,23.3,50.2,177.7,908.1,467.1
NH58_SEG_041,20000.0,20500.0,1869.3,23.5,50.2,177.5,408.1,467.3
NH58_SEG_042,20500.0,21000.0,1870.7,23.0,47.4,177.2,102.1,467.7
NH58_SEG_043,21000.0,21500.0,1868.7,22.7,60.6,175.5,591.9,467.2
NH58_SEG_044,21500.0,22000.0,1867.1,22.8,60.6,175.7,1091.9,466.8
NH58_SEG_045,22000.0,22500.0,1865.1,22.7,48.7,175.8,1591.9,466.3
NH58_SEG_046,22500.0,23000.0,1864.2,22.7,48.7,175.4,2091.9,466.1
NH58_SEG_047,23000.0,23500.0,1861.1,22.8,48.7,175.6,2591.9,465.3
NH58_SEG_048,23500.0,24000.0,1859.3,22.8,60.6,175.8,3091.9,464.8
NH58_SEG_049,24000.0,24500.0,1857.8,22.7,60.6,175.4,3238.0,464.4
NH58_SEG_050,24500.0,25000.0,1855.2,22.7,48.7,175.5,2738.0,463.8
NH58_SEG_051,25000.0,25500.0,1853.9,22.7,48.7,175.5,2238.0,463.5
NH58_SEG_052,25500.0,26000.0,1853.1,22.7,48.7,176.0,1738.0,463.3
NH58_SEG_053,26000.0,26500.0,1852.3,22.7,48.7,175.0,1238.0,463.1
NH58_SEG_054,26500.0,27000.0,1849.5,22.9,48.7,175.0,738.0,462.4
NH58_SEG_055,27000.0,27500.0,1847.1,22.9,48.7,177.5,238.1,461.8
NH58_SEG_056,27500.0,28000.0,1847.8,23.9,54.7,182.0,262.0,461.9
NH58_SEG_057,28000.0,28500.0,1850.0,23.8,54.7,181.9,762.0,462.5
NH58_SEG_058,28500.0,29000.0,1851.5,23.8,47.8,184.7,1262.0,462.9
NH58_SEG_059,29000.0,29500.0,1854.2,23.9,47.8,184.2,1762.0,463.6
NH58_SEG_060,29500.0,30000.0,1856.3,23.9,54.7,182.8,2262.0,464.1
NH58_SEG_061,30000.0,30500.0,1860.0,23.8,54.7,183.2,2762.0,465.0
NH58_SEG_062,30500.0,31000.0,1862.9,23.8,47.8,183.6,3262.0,465.7
NH58_SEG_063,31000.0,31500.0,1864.9,23.8,47.8,185.5,3142.9,466.2
NH58_SEG_064,31500.0,32000.0,1868.2,23.9,54.7,183.7,2642.9,467.1
NH58_SEG_065,32000.0,32500.0,1871.1,23.8,54.7,183.3,2142.9,467.8
NH58_SEG_066,32500.0,33000.0,1872.4,23.8,47.8,182.9,1642.9,468.1
NH58_SEG_067,33000.0,33500.0,1874.8,23.8,47.8,186.8,1142.9,468.7
NH58_SEG_068,33500.0,34000.0,1877.8,23.9,54.7,184.1,642.9,469.4
NH58_SEG_069,34000.0,34500.0,1879.8,23.8,54.7,182.4,142.9,469.9
NH58_SEG_070,34500.0,35000.0,1881.3,23.9,54.7,183.8,357.1,470.3
NH58_SEG_071,35000.0,35500.0,1883.7,23.8,54.7,183.5,857.1,470.9
NH58_SEG_072,35500.0,36000.0,1885.5,23.7,54.7,183.0,1357.1,471.4
NH58_SEG_073,36000.0,36500.0,1888.2,23.7,54.7,182.6,1857.1,472.1
NH58_SEG_074,36500.0,37000.0,1890.3,23.8,54.7,183.0,2357.1,472.6
NH58_SEG_075,37000.0,37500.0,1891.4,23.7,47.8,183.2,2857.1,472.9
NH58_SEG_076,37500.0,38000.0,1893.3,23.8,47.8,185.1,2541.2,473.3
NH58_SEG_077,38000.0,38500.0,1896.6,23.6,47.8,184.2,2041.2,474.1
NH58_SEG_078,38500.0,39000.0,1899.2,23.8,47.8,184.8,1541.2,474.8
NH58_SEG_079,39000.0,39500.0,1900.8,23.8,47.8,184.9,1041.2,475.2
NH58_SEG_080,39500.0,40000.0,1901.9,23.6,47.8,183.8,541.2,475.5
NH58_SEG_081,40000.0,40500.0,1905.6,23.8,47.8,184.0,61.5,476.4
NH58_SEG_082,40500.0,41000.0,1909.8,23.1,47.8,182.1,458.8,477.4
NH58_SEG_083,41000.0,41500.0,1913.3,23.2,47.8,180.3,958.8,478.3
NH58_SEG_084,41500.0,42000.0,1915.1,23.1,47.8,181.7,1458.8,478.8
NH58_SEG_085,42000.0,42500.0,1918.5,23.2,47.8,180.5,1958.8,479.6
NH58_SEG_086,42500.0,43000.0,1923.5,23.1,47.8,181.6,2458.8,480.9
NH58_SEG_087,43000.0,43500.0,1925.7,23.0,47.8,181.0,2958.8,481.4
NH58_SEG_088,43500.0,44000.0,1929.4,23.1,47.8,181.4,3458.8,482.4
NH58_SEG_089,44000.0,44500.0,1933.5,23.0,47.8,181.1,3958.8,483.4
NH58_SEG_090,44500.0,45000.0,1938.0,23.2,47.8,181.3,3619.6,484.5
NH58_SEG_091,45000.0,45500.0,1940.8,23.0,47.8,181.6,3119.6,485.2
NH58_SEG_092,45500.0,46000.0,1944.4,23.1,47.8,180.9,2619.6,486.1
NH58_SEG_093,46000.0,46500.0,1948.6,23.0,47.8,182.2,2119.6,487.1
NH58_SEG_094,46500.0,47000.0,1952.1,23.2,47.8,180.8,1619.6,488.0
NH58_SEG_095,47000.0,47500.0,1956.7,23.0,47.8,181.8,1119.6,489.2
NH58_SEG_096,47500.0,48000.0,1959.9,23.2,47.8,180.4,619.6,490.0
NH58_SEG_097,48000.0,48500.0,1961.9,23.5,47.8,179.5,120.2,490.5
NH58_SEG_098,48500.0,49000.0,1963.5,23.3,47.8,177.8,380.4,490.9
NH58_SEG_099,49000.0,49500.0,1968.9,23.4,47.8,179.7,880.4,492.2
NH58_SEG_100,49500.0,50000.0,1973.3,23.2,54.7,181.0,1380.4,493.3
NH58_SEG_101,50000.0,50500.0,1975.3,23.3,47.8,178.1,1880.4,493.8
NH58_SEG_102,50500.0,51000.0,1978.9,23.4,47.8,179.7,1968.7,494.7
NH58_SEG_103,51000.0,51500.0,1982.4,23.3,54.7,180.8,1468.7,495.6
NH58_SEG_104,51500.0,52000.0,1986.3,23.4,47.8,178.3,968.7,496.6
NH58_SEG_105,52000.0,52500.0,1989.1,23.4,47.8,179.7,468.7,497.3
NH58_SEG_106,52500.0,53000.0,1993.0,23.5,47.8,179.2,33.1,498.2
NH58_SEG_107,53000.0,53500.0,1996.6,23.4,47.8,180.8,531.3,499.1
NH58_SEG_108,53500.0,54000.0,1999.2,23.6,54.7,179.3,1031.3,499.8
NH58_SEG_109,54000.0,54500.0,2002.0,23.3,47.8,181.2,1531.3,500.5
NH58_SEG_110,54500.0,55000.0,2005.7,23.3,47.8,179.4,2031.3,501.4
NH58_SEG_111,55000.0,55500.0,2010.3,23.5,47.8,181.0,2531.3,502.6
NH58_SEG_112,55500.0,56000.0,2012.7,23.6,54.7,181.1,3031.3,503.2
NH58_SEG_113,56000.0,56500.0,2014.9,23.3,47.8,181.2,3531.3,503.7
NH58_SEG_114,56500.0,57000.0,2019.9,23.4,47.8,182.1,4031.3,505.0
NH58_SEG_115,57000.0,57500.0,2023.0,23.5,47.8,179.7,4531.3,505.8
NH58_SEG_116,57500.0,58000.0,2027.2,23.7,54.7,180.7,5031.3,506.8
NH58_SEG_117,58000.0,58500.0,2031.6,23.4,47.8,178.7,5531.3,507.9
NH58_SEG_118,58500.0,59000.0,2034.7,23.5,47.8,181.4,6031.3,508.7
NH58_SEG_119,59000.0,59500.0,2037.9,23.5,47.8,179.7,6531.3,509.5
NH58_SEG_120,59500.0,60000.0,2042.4,23.6,54.7,178.4,7031.3,510.6
NH58_SEG_121,60000.0,60500.0,2044.7,23.2,47.8,180.2,7531.3,511.2
NH58_SEG_122,60500.0,61000.0,2047.9,23.4,47.8,178.2,8031.3,512.0
NH58_SEG_123,61000.0,61500.0,2051.8,23.6,47.8,181.0,8531.3,513.0
NH58_SEG_124,61500.0,62000.0,2056.3,23.6,54.7,180.4,9031.3,514.1
NH58_SEG_125,62000.0,62500.0,2059.6,23.4,47.8,181.5,9531.3,514.9
NH58_SEG_126,62500.0,63000.0,2061.8,23.4,47.8,180.4,10031.3,515.5
NH58_SEG_127,63000.0,63500.0,2067.3,23.5,47.8,179.1,10531.3,516.8
NH58_SEG_128,63500.0,64000.0,2069.8,23.7,54.7,180.4,11031.3,517.5
NH58_SEG_129,64000.0,64500.0,2072.6,23.3,47.8,177.7,11531.3,518.1
NH58_SEG_130,64500.0,65000.0,2077.9,23.4,47.8,181.2,12031.3,519.5
NH58_SEG_131,65000.0,65247.7048982633,2080.5,23.1,47.8,182.5,12405.1,520.1
